Title,URLs,Categories
"5 raisons pour changer de fournisseur maintenant !",https://dev.veriftarif.be/articles/actualite/5-raisons-pour-changer-de-fournisseur-maintenant,Actualité
Accueil,https://dev.veriftarif.be/,
"Baisser la TVA sur l&#8217;électricité n&#8217;est pas la solution adéquate pour relancer l&#8217;économie belge.",https://dev.veriftarif.be/nouvelles/baisser-la-tva-sur-l-electricite-n-est-pas-la-solution-adequate-pour-relancer-l-economie-belge,Nouvelles
"Cartes tarifaires 2018: Gaz &#038; Electricité",https://dev.veriftarif.be/cartes-tarifaires/2018-gaz-electricite,
"Comparer rapidement et simplement les fournisseurs d&#8217;énergie en Belgique",https://dev.veriftarif.be/comparer-rapidement-et-simplement-les-fournisseurs-d-energie-en-belgique,
"Conditions générales et protection des données personnelles",https://dev.veriftarif.be/conditions-generales-et-protection-des-donnees-personnelles,
Contact,https://dev.veriftarif.be/contact,
"Déçu par la reprise de Lampiris par TOTAL ? Voici les alternatives !",https://dev.veriftarif.be/articles/actualite/decu-par-la-reprise-de-lampiris-par-total-voici-les-alternatives,Actualité
"des tarifs encore moins chers que les groupements d&#8217;achat",https://dev.veriftarif.be/nouvelles/des-tarifs-encore-moins-chers-que-les-groupements-d-achat,Nouvelles
"Devenir partenaire",https://dev.veriftarif.be/devenir-partenaire,
"EDF Luminus",https://dev.veriftarif.be/fournisseurs-energie-belgique/edf-luminus,
"Electrabel change son nom en ENGIE Electrabel",https://dev.veriftarif.be/articles/actualite/electrabel-change-son-nom-en-engie-electrabel,Actualité
"ENGIE Electrabel Active et BOXX jugés objectivement",https://dev.veriftarif.be/articles/actualite/engie-electrabel-active-et-boxx-juges-objectivement,Actualité
FAQ,https://dev.veriftarif.be/faq,
"Fournisseurs d&#8217;énergie en Belgique",https://dev.veriftarif.be/fournisseurs-energie-belgique,
"Garantie Veriftarif: toujours le meilleur prix",https://dev.veriftarif.be/garantie-meilleur-prix,
"Historique des Cartes Tarifaires Gaz &#038; Electricité",https://dev.veriftarif.be/cartes-tarifaires,
"Il ne vous faut pas grand chose pour comparer correctement et complètement les fournisseurs d&#8217;énergie",https://dev.veriftarif.be/il-ne-vous-faut-pas-grand-chose-pour-comparer-correctement-et-completement-les-fournisseurs-d-energie,
"Le meilleur comparateur de fournisseurs d&#8217;énergie en Belgique",https://dev.veriftarif.be/le-meilleur-comparateur-de-fournisseurs-d-energie-en-belgique,
"Le score Greenpeace: quel fournisseur d&#8217;énergie est réellement durable?",https://dev.veriftarif.be/articles/le-secteur-de-l-energie/le-score-greenpeace-quel-fournisseur-d-energie-est-reellement-durable,"Le secteur de l'énergie"
"Les particuliers et petits consommateurs professionnels ne paieront plus de frais de résiliation de leurs contrats d&#8217;énergie.",https://dev.veriftarif.be/nouvelles/les-particuliers-et-petits-consommateurs-professionnels-ne-paieront-plus-de-frais-de-resiliation-de-leurs-contrats-d-energie,Nouvelles
Luminus,https://dev.veriftarif.be/supplier/luminus,
"Optimiser les tarifs d&#8217;énergie pour les professionnels.",https://dev.veriftarif.be/optimiser-les-tarifs-d-energie-pour-les-professionnels,
"Organiser son déménagement : les étapes à suivre pour transférer vos compteurs d&#8217;énergie.",https://dev.veriftarif.be/nouvelles/organiser-son-demenagement-les-etapes-a-suivre-pour-transferer-vos-compteurs-d-energie,Nouvelles
"Présentation de l&#8217;équipe derrière le comparateur de fournisseurs d&#8217;énergie Veriftarif.be",https://dev.veriftarif.be/presentation-de-l-equipe-derriere-le-comparateur-de-fournisseurs-d-energie-veriftarif-be,
"Quel tarif d&#8217;énergie est le moins cher?",https://dev.veriftarif.be/tarif-energie-moins-cher,
"Qui sommes-nous ?",https://dev.veriftarif.be/qui-sommes-nous,
"Suivi personnalisé basé sur votre profil de consommation en énergie",https://dev.veriftarif.be/suivi-personnalise-base-sur-votre-profil-de-consommation-en-energie,
"TVA sur l&#8217;électricité à 6%, êtes vous concernés et comment en bénéficier ?",https://dev.veriftarif.be/nouvelles/tva-sur-l-electricite-a-6-etes-vous-concernes-et-comment-en-beneficier,Nouvelles
"Veriftarif : un comparateur de fournisseurs d&#8217;énergie gratuit, simple et indépendant",https://dev.veriftarif.be/veriftarif-un-comparateur-de-fournisseurs-d-energie-gratuit-simple-et-independant,
