Title,URLs
"&#8220;BTW-verlaging op elektriciteit is de slechtste maatregel ooit!&#8221;",https://dev.tariefchecker.be/artikels/actualiteit/btw-verlaging-op-elektriciteit-is-de-slechtste-maatregel-ooit,
"01/03/2016: invoering van de Turteltaks",https://dev.tariefchecker.be/artikels/actualiteit/01-03-2016-invoering-van-de-turteltaks,
"2019? Wat verandert er op het vlak van energie?",https://dev.tariefchecker.be/artikels/actualiteit/2019-veranderingen-energie,
"3 slimme tools die je helpen besparen op je energiefactuur",https://dev.tariefchecker.be/artikels/actualiteit/tools-besparen-energiefactuur,
"3 stappen plan: veranderen van energieleverancier is gemakkelijk",https://dev.tariefchecker.be/3-stappen-plan-veranderen-van-energieleverancier-is-gemakkelijk,
"5 concrete tips om een hoge afrekening (en afbetalingsplan) te vermijden",https://dev.tariefchecker.be/artikels/actualiteit/5-concrete-tips-om-een-hoge-afrekening-en-afbetalingsplan-te-vermijden,
"5 redenen om nu van leverancier te veranderen",https://dev.tariefchecker.be/artikels/actualiteit/5-redenen-om-nu-van-leverancier-te-veranderen,
"5 tips om energie te besparen",https://dev.tariefchecker.be/artikels/energie-besparen/5-tips-om-energie-te-besparen,
"6 redenen om nu van leverancier te veranderen",https://dev.tariefchecker.be/artikels/actualiteit/6-redenen-om-nu-van-leverancier-te-veranderen,
"75 miljoen euro federale energiebijdrage teveel geïnd?",https://dev.tariefchecker.be/artikels/actualiteit/75-miljoen-euro-federale-energiebijdrage-teveel-geind,
"8,3% minder windenergie in België in 2016",https://dev.tariefchecker.be/artikels/actualiteit/8-3-minder-windenergie-in-belgie-in-2016,
"Aanbod groepsaankoop energie Test-aankoop duurder dan onze aanbiedingen",https://dev.tariefchecker.be/artikels/actualiteit/aanbod-groepsaankoop-energie-test-aankoop-duurder-dan-onze-aanbiedingen,
"Aanvullende netkosten voor prosumenten zullen gemiddeld 160 à 350 euro bedragen",https://dev.tariefchecker.be/artikels/actualiteit/capaciteitstarief-prosumenten,
"Algemene voorwaarden en bescherming van de persoonsgegevens",https://dev.tariefchecker.be/algemene-voorwaarden-en-bescherming-van-de-persoonsgegevens,
"Alle informatie over de digitale meter op één website",https://dev.tariefchecker.be/artikels/actualiteit/alle-informatie-over-de-digitale-meter-op-een-website,
"Alles wat je moet weten over groene stroom",https://dev.tariefchecker.be/artikels/actualiteit/groene-stroom,
Antargaz,https://dev.tariefchecker.be/energie/energieleveranciers-belgie/antargaz,
Antargaz,https://dev.tariefchecker.be/nieuws/antargaz-d2,
Antargaz,https://dev.tariefchecker.be/nieuws/antargaz-d4,
"Autoverzekeringen vergelijken",https://dev.tariefchecker.be/autoverzekeringen-vergelijken,
"Autoverzekeringen vergelijken bespaart je tot 66%!",https://dev.tariefchecker.be/autoverzekeringen-vergelijken-bespaart-je-tot-66,
Bedankt!,https://dev.tariefchecker.be/bedankt,
"Belg verbruikt steeds meer energie",https://dev.tariefchecker.be/artikels/actualiteit/belg-verbruikt-steeds-meer-energie,
"Belgen betalen nog steeds veel te veel voor hun energie",https://dev.tariefchecker.be/artikels/actualiteit/belgen-betalen-nog-steeds-veel-te-veel-voor-hun-energie,
"Belgen betalen te veel voor elektriciteit",https://dev.tariefchecker.be/artikels/actualiteit/belgen-betalen-te-veel-voor-elektriciteit,
"België op 100% hernieuwbare energie tegen 2050!",https://dev.tariefchecker.be/artikels/actualiteit/belgie-op-100-hernieuwbare-energie-tegen-2050,
"België scoort slecht op het vlak van hernieuwbare energie",https://dev.tariefchecker.be/artikels/actualiteit/belgie-scoort-slecht-hernieuwbare-energie,
"België wereldrecordhouder in sluitingen kernreactoren",https://dev.tariefchecker.be/artikels/actualiteit/belgie-wereldrecordhouder-in-sluitingen-kernreactoren,
"Belgisch afschakelplan om totale black-outs te vermijden",https://dev.tariefchecker.be/artikels/actualiteit/belgisch-afschakelplan-om-totale-black-outs-te-vermijden,
"Belgische staat moet miljoenen terugbetalen aan energieleveranciers",https://dev.tariefchecker.be/artikels/actualiteit/belgische-staat-moet-miljoenen-terugbetalen-aan-energieleveranciers,
Belpower,https://dev.tariefchecker.be/nieuws/belpower-d1,
Belpower,https://dev.tariefchecker.be/nieuws/belpower-d3,
"Belpower klant? Tijd om over te stappen!",https://dev.tariefchecker.be/artikels/actualiteit/belpower-klant-tijd-om-over-te-stappen,
"Berg groenestroomcertificaten daalt fors",https://dev.tariefchecker.be/artikels/actualiteit/berg-groenestroomcertificaten-daalt-fors,
"Bespaar tot € 500 per jaar op je energiefactuur",https://dev.tariefchecker.be/artikels/actualiteit/bespaar-tot-e-500-per-jaar-op-je-energiefactuur,
"Betalen we binnenkort minder taksen op elektriciteit?",https://dev.tariefchecker.be/artikels/actualiteit/betalen-we-binnenkort-minder-taksen-op-elektriciteit,
"Betekent een lage EPC-waarde een lage energiefactuur?",https://dev.tariefchecker.be/artikels/dossiers-uit-de-energiesector/epc-energiefactuur,
"Bevolking bevraagd over Belgisch klimaatplan",https://dev.tariefchecker.be/artikels/actualiteit/bevraging-klimaatplan-belgie,
"Bijna Energie Neutraal (BEN) bouwen in de lift",https://dev.tariefchecker.be/artikels/actualiteit/6-op-de-10-vlamingen-bijna-energie-neutraal,
"Binnenkort dubbel zoveel zonne- en windenergie",https://dev.tariefchecker.be/artikels/actualiteit/meer-wind-en-zonneenergie,
"Blockchain gaat netwerkbeheerder Elia helpen",https://dev.tariefchecker.be/artikels/actualiteit/blockchain-netwerkbeheerder-elia-helpen,
"Brandstofmixrapport: Waar komt onze Vlaamse stroom vandaan?",https://dev.tariefchecker.be/artikels/actualiteit/brandstofmixrapport-waar-komt-onze-vlaamse-stroom-vandaan,
"BTW-verlaging van 21 naar 6% op elektriciteit. Wat betekent dat voor u?",https://dev.tariefchecker.be/faq/btw-verlaging-van-21-naar-6-op-elektriciteit-wat-betekent-dat-voor-u,
"Buitenlandse spelers ontdekken Belgische energiemarkt",https://dev.tariefchecker.be/artikels/actualiteit/buitenlandse-spelers-ontdekken-belgische-energiemarkt,
"Burger krijgt inspraak in energiebeleid",https://dev.tariefchecker.be/artikels/actualiteit/burger-krijgt-inspraak-in-energiebeleid,
"Comfort Energy",https://dev.tariefchecker.be/nieuws/comfort-energy,
"Comfort Energy",https://dev.tariefchecker.be/nieuws/comfort-energy-d1,
"Comfort Energy",https://dev.tariefchecker.be/energie/energieleveranciers-belgie/comfort-energy,
"Concurrentie tussen energieleveranciers neemt af",https://dev.tariefchecker.be/artikels/actualiteit/concurrentie-energiesector,
"Consumentenakkoord energie door leveranciers getekend",https://dev.tariefchecker.be/artikels/actualiteit/consumentenakkoord-energie-getekend,
Contact,https://dev.tariefchecker.be/contact,
"De Belgische energiecijfers van 2016",https://dev.tariefchecker.be/artikels/actualiteit/de-belgische-energiecijfers-van-2016,
"De Belgische energieleveranciers",https://dev.tariefchecker.be/energie/de-belgische-energieleveranciers,
"De beste vergelijker",https://dev.tariefchecker.be/de-beste-vergelijker,
"De distributienettarieven stijgen verder",https://dev.tariefchecker.be/artikels/actualiteit/de-distributienettarieven-stijgen-verder,
"De energieprijzen stegen ook vorig jaar pittig!",https://dev.tariefchecker.be/artikels/actualiteit/de-energieprijzen-stegen-ook-vorig-jaar-pittig,
"De evoluties in de prijzen van de groothandelsmarkt in België",https://dev.tariefchecker.be/artikels/actualiteit/de-evoluties-in-de-prijzen-van-de-groothandelsmarkt-in-belgie,
"De greenpeace groenscore: wie is echt groen?",https://dev.tariefchecker.be/artikels/dossiers-uit-de-energiesector/de-greenpeace-groenscore-wie-is-echt-groen,
"De Grey Day? Wat heeft dat te betekenen?",https://dev.tariefchecker.be/artikels/actualiteit/de-grey-day-wat-heeft-dat-te-betekenen,
"De regulatoire saldi 2016 zijn bekend!",https://dev.tariefchecker.be/artikels/actualiteit/de-regulatoire-saldi-2016-zijn-bekend,
"De resultaten van de nieuwe Marktmonitor 2018 zijn bekend",https://dev.tariefchecker.be/artikels/actualiteit/marktmonitor-2018,
"De slimme meter: een noodzakelijk kwaad?",https://dev.tariefchecker.be/artikels/dossiers-uit-de-energiesector/de-slimme-meter-een-noodzakelijk-kwaad,
"De slimme meter: een stand van zaken",https://dev.tariefchecker.be/artikels/actualiteit/de-slimme-meter-een-stand-van-zaken,
"De V-Test van de VREG, MijnEnergie.be en Tariefchecker: verschillen en overeenkomsten",https://dev.tariefchecker.be/faq/de-v-test-van-de-vreg-mijnenergie-be-en-tariefchecker-verschillen-en-overeenkomsten,
"De zonnekaart is er!",https://dev.tariefchecker.be/artikels/actualiteit/de-zonnekaart-is-er,
"dec 2015: stand van zaken kerncentrales Doel en Tihange",https://dev.tariefchecker.be/artikels/actualiteit/dec-2015-stand-van-zaken-kerncentrales-doel-en-tihange,
"Deur-aan-deurverkopers elektriciteit in opspraak",https://dev.tariefchecker.be/artikels/actualiteit/deur-aan-deur-verkoop-elektriciteit,
